stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
498,6923,The Queensway at Windermere Ave West Side,,43.637314,-79.470466,,,,,,1
499,11631,55 Rankin Cres,,43.658448,-79.446615,,,,,,2
500,6011,Rathburn Rd at Lloyd Manor Rd,,43.659201,-79.546369,,,,,,1
510,8069,Renforth Dr at Eglinton Ave West,,43.666096,-79.587166,,,,,,1
512,11628,Michael Power / St Joseph H.S.,,43.659476,-79.582965,,,,,,1
513,11627,Michael Power / St Joseph H.S.,,43.659289,-79.582873,,,,,,1
520,6031,Rogers Rd at Keele St,,43.68219,-79.471323,,,,,,1
522,6991,Royal York Rd at Dixon Rd,,43.699615,-79.533986,,,,,,2
523,12175,Royal York Rd at Eglinton Ave West South Side,,43.681704,-79.526478,,,,,,2
526,8082,Sentinel Rd at Finch Ave West,,43.761193,-79.500227,,,,,,1
527,4498,Sentinel Rd at The Pond Rd,,43.769916,-79.502298,,,,,,1
528,10870,Sewells Rd at Brenyon Way East Side,,43.807953,-79.215028,,,,,,1
529,10873,Sewells Rd at Brenyon Way,,43.80792,-79.215527,,,,,,1
530,10871,Sewells Rd at McLevin Ave,,43.810308,-79.213775,,,,,,2
532,7172,Sheppard Ave East at Commons Dr,,43.775706,-79.320546,,,,,,1
533,11025,Sheppard Ave East at Commons Dr,,43.775605,-79.320939,,,,,,1
534,11669,Sheppard Ave East at Meadowvale Rd,,43.80818,-79.171104,,,,,,2
535,13918,Sheppard Ave East at Victoria Park Ave East Side,,43.775286,-79.322236,,,,,,1
536,6069,Sheppard Ave West at Jane St East Side,,43.739369,-79.512583,,,,,,2
537,6087,Sheppard Ave West at Sentinel Rd,,43.743786,-79.491659,,,,,,1
538,4598,Sheppard Ave West at William R Allen Rd West Side,,43.750252,-79.463904,,,,,,1
540,3117,Sherway Gardens Rd at Sherway Gate (Mall),,43.609729,-79.558438,,,,,,1
541,9108,Sherway Gardens Rd at Sherway Gate (Mall) West Side,,43.610024,-79.558228,,,,,,1
542,9109,Sherway Gardens Rd at Sherway Gate (Mall),,43.609785,-79.558022,,,,,,1
543,11587,Sherway Gardens Rd at Sherway Gate (Mall),,43.609847,-79.557773,,,,,,1
549,1262,Main St at Danforth Ave,,43.688037,-79.301635,,,,,,2
550,11826,Main St at Danforth Ave,,43.687796,-79.301532,,,,,,1
551,2855,Main St at Doncaster Ave,,43.691558,-79.303255,,,,,,2
552,1264,Main St at Gerrard St East,,43.684061,-79.300315,,,,,,1
553,13923,Main St at Gerrard St East,,43.684182,-79.300207,,,,,,1
558,13900,Markham Rd at Passmore Ave North Side,,43.831141,-79.250611,,,,,,2
560,11331,Martin Grove Rd at Finch Ave West North Side,,43.737241,-79.591714,,,,,,1
561,5620,Martin Grove Rd at John Garland Blvd,,43.731919,-79.589166,,,,,,1
562,5627,Martin Grove Rd at Mercury Rd,,43.726119,-79.586894,,,,,,1
563,7957,Westhumber Blvd at Martin Grove Rd North Side,,43.726355,-79.586705,,,,,,2
564,1286,2061 McCowan Rd,,43.795441,-79.261074,,,,,,1
565,777,McCowan Rd at Bushby Dr North Side,,43.774936,-79.252175,,,,,,1
566,9993,McCowan Rd at Elson St,,43.834965,-79.27602,,,,,,1
567,9807,McCowan Rd at Steeles Ave East North Side,,43.83177,-79.2752,,,,,,1
568,10577,McCowan Rd at Steeles Ave East South Side,,43.830294,-79.275161,,,,,,1
569,9616,McCowan Rd at Town Centre Crt,,43.774794,-79.252588,,,,,,1
570,2874,1020 McNicoll Ave,,43.804303,-79.335709,,,,,,1
571,12017,McNicoll Ave at Silver Springs Blvd,,43.809896,-79.306447,,,,,,1
572,12035,McNicoll Ave at Silver Springs Blvd,,43.810154,-79.306225,,,,,,1
573,9179,McNicoll Ave at Victoria Park Ave,,43.803924,-79.336632,,,,,,1
574,6575,Meadowvale Rd at Sheppard Ave East,,43.808582,-79.171055,,,,,,1
576,11415,Military Trail at Morningside Ave,,43.789009,-79.193257,,,,,,1
577,5753,Millwood Rd at Overlea Blvd North Side,,43.702117,-79.353246,,,,,,1
578,4484,Millwood Rd at Overlea Blvd,,43.70187,-79.35243,,,,,,1
579,10947,Morningside Ave at Casebridge Crt North Side,,43.809256,-79.20275,,,,,,1
580,11249,Morningside Ave at John Stoner Dr South Side,,43.813037,-79.206022,,,,,,1
581,13906,Nightstar Rd at Morningside Ave North Side,,43.823402,-79.230475,,,,,,1
582,14104,Morningside Ave at Walkway to Raponi Cir,,43.826549,-79.232874,,,,,,1
583,5755,Morning Star Dr at Catalpa Rd,,43.719752,-79.643204,,,,,,2
584,5756,Morning Star Dr at Catalpa Rd,,43.720149,-79.643031,,,,,,1
585,5758,Morning Star Dr at Airport Rd East Side,,43.709985,-79.649766,,,,,,2
586,5759,Morning Star Dr at Lancaster Ave,,43.712757,-79.647418,,,,,,2
587,5760,Morning Star Dr at Manion Rd,,43.71257,-79.647738,,,,,,2
588,5763,Morning Star Dr at Reindeer Dr West Side,,43.714132,-79.646964,,,,,,2
589,5764,Morning Star Dr at Reindeer Dr,,43.714642,-79.646501,,,,,,2
590,5773,Mortimer Ave at Coxwell Ave West Side - Michael Garron Hospital,,43.69056,-79.327056,,,,,,1
591,5813,Mt Pleasant Rd at Eglinton Ave East North Side,,43.708909,-79.3902,,,,,,1
595,1380,Neilson Rd at Finch Ave East South Side,,43.81544,-79.227311,,,,,,1
596,11667,Neilson Rd at Finch Ave East South Side,,43.815638,-79.227412,,,,,,1
597,5904,Oakwood Ave at Eglinton Ave West South Side,,43.696926,-79.442725,,,,,,1
598,5911,Oakwood Ave at Rogers Rd,,43.687031,-79.438568,,,,,,1
599,1419,O'Connor Dr at Pape Ave,,43.693124,-79.350439,,,,,,1
600,4509,Old Weston Rd at St Clair Ave West North Side,,43.673945,-79.463061,,,,,,1
601,11583,Old Weston Rd at St Clair Ave West,,43.673248,-79.462852,,,,,,1
602,4508,Old Weston Rd at St Clair Ave West,,43.673628,-79.463123,,,,,,1
606,8008,Ossington Ave at Bloor St West,,43.661821,-79.425454,,,,,,1
607,9857,Ossington Ave at Bloor St West,,43.662062,-79.425772,,,,,,1
609,2979,Overlea Blvd at Millwood Rd East Side,,43.702452,-79.35223,,,,,,2
610,8009,Overlea Blvd at Millwood Rd,,43.702345,-79.352727,,,,,,1
611,8011,Overlea Blvd at Thorncliffe Park Dr (East),,43.70725,-79.344028,,,,,,1
612,11846,Pape Ave at Lipton Ave North Side,,43.679891,-79.345139,,,,,,1
613,4501,Pape Ave at O'Connor Dr North Side,,43.693657,-79.350372,,,,,,1
614,1451,Parliament St at Carlton St,,43.663906,-79.36772,,,,,,2
615,1452,Parliament St at Gerrard St East,,43.662048,-79.367169,,,,,,2
617,1453,Peter Kaiser Gate at Steeles Ave West,,43.774009,-79.526633,,,,,,1
619,6698,Pharmacy Ave at Ellesmere Rd,,43.758892,-79.310043,,,,,,1
620,9885,Port Union Rd at Adenmore Rd North Side,,43.781768,-79.13747,,,,,,1
623,3587,Finch Ave West at Dufferin St,,43.768624,-79.467298,,,,,,1
624,13709,Finch Ave West at Jane St,,43.757066,-79.518106,,,,,,1
627,11200,Finch Ave West at Martin Grove Rd West Side,,43.736705,-79.59245,,,,,,1
628,12456,Finch Ave West at Rumike Rd East Side,,43.749971,-79.551625,,,,,,2
629,3613,Finch Ave West at Senlac Rd,,43.776326,-79.430344,,,,,,1
630,9821,Finch Ave West at Sentinel Rd East Side,,43.761114,-79.499231,,,,,,1
631,3622,Finch Ave West at Wilmington Ave,,43.770054,-79.460827,,,,,,1
632,10210,Fleet St at Bathurst St,,43.63647,-79.400131,,,,,,1
638,2646,Freshmeadow Dr at Don Mills Rd,,43.809241,-79.358694,,,,,,1
639,9116,Freshmeadow Dr at Don Mills Rd,,43.809161,-79.358829,,,,,,1
641,9406,Front St West at Bay St East Side - Union Station,,43.645995,-79.378521,,,,,,1
642,12491,Glen Rd at South Dr,,43.677754,-79.375178,,,,,,2
643,7480,Lawson Rd at Kingston Rd (Highway 2A Overpass),,43.784126,-79.168334,,,,,,1
644,6625,Highland Creek Overpass at Kingston Rd,,43.784451,-79.168491,,,,,,1
645,11560,Highland Creek Overpass at Kingston Rd,,43.784282,-79.168278,,,,,,1
646,11504,Highway 27 at Queen's Plate Dr - Woodbine Centre,,43.722448,-79.597785,,,,,,1
648,12196,Humber College Blvd at Humberline Dr South Side,,43.731793,-79.608899,,,,,,1
649,7861,Humber College Blvd at Humberline Dr,,43.73228,-79.609412,,,,,,1
650,12064,Humberline Dr at Humber College Blvd West Side,,43.731956,-79.609689,,,,,,1
651,11049,Humberline Dr at Humber College Blvd,,43.731861,-79.609562,,,,,,1
654,9901,Islington Ave at Bloor St West North Side,,43.64541,-79.523592,,,,,,1
655,13363,Islington Ave at Bloor St West,,43.644497,-79.523193,,,,,,1
656,9902,Islington Ave at Bloor St West,,43.644861,-79.523693,,,,,,1
657,3772,Islington Ave at Central Park Roadway South Side,,43.648075,-79.525021,,,,,,1
658,3791,Islington Ave at Finch Ave West,,43.745841,-79.568376,,,,,,1
660,3863,Jane St at Annette St,,43.658168,-79.487997,,,,,,1
661,3878,Jane St at Trethewey Dr,,43.697819,-79.502577,,,,,,1
662,3891,Jane St at Finch Ave West South Side,,43.756377,-79.517646,,,,,,1
